Assessor,triplet_id,proposal_id,Impact / Alignment Note,Impact / Alignment Rating,Feasibility Note,Feasibility Rating,Auditability Note,Auditability Rating,Blank,Filtered Out,Filtered Out: rationale
z_assessor_339,339-366707,366707,,5,,5,,5,x,,
z_assessor_353,353-366707,366707,,5,,5,,5,x,,
z_assessor_361,361-366707,366707,"The proposal adds value to the Cardano ecosystem in that it would improve the evaluation of funded proposals by identifying common community standards, building consistent evaluation tools, and automating reports on funded proposals. 
It would have a local niche impact on the Cardano ecosystem and there is no ability to scale.",3,"
The likelihood of success is good and the proposer's experience is aligned with the proposal objective. 
The budget is explained clearly and simply. 
There is a clear and comprehensive timeline.",5,"Delivery dates are clearly defined. 
Development risks have not been considered. 
It is not clearly stated what programming tools will be used. 
People can monitor the status of work on the github repository.",3,,,
z_assessor_378,378-366707,366707,,5,,5,,5,x,,
z_assessor_387,387-366707,366707,,5,,5,,5,x,,
z_assessor_404,404-366707,366707,The proposal is focussed on improving auditability via the creation of a system which increases transparency whilst also enables comparability between reviews of proposals. This will lead to more certainty of the learnings from the reviews. It will also assist better reviews to occur prior to funding being approved.,5,It is clear that the Idea Submitter knows what he is talking about. As background I have a Masters in Social Science plus a law degree so have some experience of the importance of standards and how it is important to apply standards of auditing equally to allow system participants to benefit from funding and to feel that they have been treated fairly. I have assisted many teams to apply for research grants in the past. The proposal sets out a clear plan of activity on how to implement the proposal. This is impressive. That said it will be challenging.,5,"Given the clear timetable of activities both in terms of the activities which are described and the timeliness it will be possible to understand if a deliverable is achieved by a given date. The overall success will be auditable via an assessment of the outputs. I expect this will be possible to do as the stated goals will either be achieved, partly achieved or not achieved and this will be possible to review, provided that the access to information on project outcomes is made available.",5,,,
z_assessor_405,405-366707,366707,,5,,5,,4,x,,
z_assessor_430,430-366707,366707,"This proposal fit into the challenge but the solution is not clear enough on what will be deliver at the end of the project , The project seem to use 3 month to build continuous Integration with Github Action. I believe the timeframe is too long to build only github action. It appear this is a research project and given that Catalyst funded project comes in all form , The Proposer have not convince me how Github action will improve distributed audibility to the benefit of the ecosystem , for that i score 2",2,"The experience of the Proposer is great , given that he is currently working on a funded Project of fund 5. The GitHub profile provided shows that the proposer has experience in Cardano , There is a road map , a launch date and a budget break down.",4,"The proposal provided the following Key Metrics to measure 

- Number of funded proposals using the automated auditability workflow tools. 

- Number of commits in funded proposal repositories (Github) 

- Quality of performance, achievements & financials reports using the tools compared to those not using them. 

- Number of onboarded developers using Continuous Integration 

1. The first point is not sufficient to audit this project because the number of funded Proposals is track on the Ideascale and Catalyst Project already. 
2. Number of commits in funded proposal github repo is not also enough because Catalyst project comes in various form , some project does not require any github repo. 

Based on the information provided , I score 2 
",2,,X,"Auditability Note misunderstands Key Metric to measure.
Metric 1 refers to “using the automated auditability workflow tools” NOT whether funded proposals are tracked on Ideascale.
Metric 2 – “Number of commits in funded proposal repositories” is indicative NOT exclusive. Other metrics can be used to measure performance.
"
z_assessor_434,434-366707,366707,"Meets that challenge nicely. 
This sort of service will really help for project auditability and accountability.",5,"Good experience, looks well suited.",5,"Being able to use the tools that they are about to develop would help, if possible :)",5,,,
z_assessor_460,460-366707,366707,"Has the problem needing to be solved been identified and articulated? 

Yes. The problem is clearly stated as 
There are no common audit standards in funded proposals.There is no consistent evaluation of funded proposals, either in terms of frequency ( 1 evaluation per quarter etc) or quality ( no estbalished standards of tracking and reporting.) 

Funded reporting is manual.Each time can do as and when they wish. 

Does this proposal fall within the scope of the challenge brief? 

Yes. It has to do with Improving Auditablity by identifying common community standards and building consistent tools. 

Does this proposal show clearly how it will add value to the Cardano System? 
It states that since Cardano is a community, and Catalyst is built to distribute governance for Cardano Blockchain, then it follows that auditability also should be distributed. 

Have key metrics and goals of the proposal been stated clearly? 
The goals have been stated clearly. Namely to idenfity common community standards, build consistent evaluation tools and automate reporting. 


Do the key metrics and goals of the proposal fall within the scope of the challenge 
Yes they do 

Can the proposal scale to address future challenges? 
It can provided the tools are designed to scale up and the standards built on a framework allowing scaling. 

In summary this more than comprehensively meets the criteria for impact.",5,"
2. FEASIBILITY 

Has the proposer provided evidence (references, links, etc.) of relevant skills and experience needed to implement the proposal? 
Yes he has over thirty years of experience. He seems to be doing it himself. 

Are these links sufficient? 
Yes 

Have you the CA visited these links and contacted the relevant people? 
Yes 

Have you been able to assess their level of competence? 
Yes the developer seems competent 

Does proposer know, in an identifiable manner, the type and number of team members required to implement the proposal? 
No other team members have been listed. 

Has he rationally and logically laid out his team structure and breakdown? 
He has laid out his capabilities, but no team has been identified. 

Has budget been outlined clearly and broken down into identifiable items? 
Yes budget is clearly laid out into identifiable items. 

IS budget reasonable to achieve the set goals? 
It is very reasonable. 


Has the proposer provided a verifiable plan if additional funding is required to implement the proposal? 
Yes all his workflow can be verified and assessed. 
Have you verified this plan? 
Yes 

Does proposal offer a realistic timetable to complete the work? 
The time table is realistic. 

Does the proposal provide a sensible and conductible plan for implementation that shows not only what is being done but also how? 
Yes it shows how each step is to be carried out. 

Does the plan describe the resources necessary to implement the proposal? 
Yes it describes needed resources 

Does the proposal clearly explain technical aspects like architecture, language and technologies if they are crucial for implementation? 
Yes the technical aspects are explained. 

Has the proposer considered challenges and risks relevant to a successful implementation? 
Challenges and risks have not been identified. 
",5,"
3) Auditability 

Is there clearly laid out a roadmap with milestones and a time horizon for achievement. 
Yes a roadmap with milestones has been laid out. 

Are there clearly defined Metrics/KPIs that define the success of the proposal? 
There are clear metrics 

Is there a clear understandable description of the targeted problem? 
Yes it is clearly understood. 

Is there a clear understandable solution that addresses the problem? 
The solution has been clearly understood 

Has the proposer identified possible hurdles, challenges and difficulties? 
Hurdles have not been mentioned in this document but it is evident the proposer is competent to deal with them. 

How does the proposer plan to deal with these difficulties? 
No difficulties have been mentioned 

Are there contingency plans in place for various outcomes? 
No 
",5,,,Metric 1 refers to “using the automated auditability workflow tools” NOT whether funded proposals are tracked on Ideascale.
z_assessor_517,517-366707,366707,"This challenge works to develop automated and standardized tools for auditing future projects, directly answering the challenge.",4,"The benchmarks of progress involve studying how other projects are audited and working to extrapolate a standardized protocol. Based on the proposer's experience it seems quite doable for him to implement these steps, including the KPIs.",4,"The benchmarks of success appear reasonable and relatively clear, with deployments on github laid out at clear time points.",4,,,
z_assessor_520,520-366707,366707,,4,,3,,4,x,,
z_assessor_533,533-366707,366707,This is a great initiative and very necessary. Auditability and standardized metrics would help tremendously. The one thing that most proposals lack is a clear way to track progress and efficacy. This proposal would go a very long way to help that shortcoming.,5,"The plan is very well documented. The links and repositories are not very clear and there is no code in the Github as far as I have seen apart from some random config yml files and a few htmls, but that is OK at this stage. 
What is a little bit concerning is that the proposer has so many other proposals in Fund 6 but this seems to be a high priority. 
Reading through the comments in this and the last funded project this seems like a genuine and structured approach to achieving QA and traceability. 
I would have liked to see more clear presentation in the proposal of the achievements of the last funded round (although that was a mere $5 so not sure how much one can expect).",4,"A paragon of clarity in the plan and the breakdown of activities, deadlines, etc. to achieve auditability. 
Anything less would of course have been a warning flag to this initiative, but I think it is great.",5,,,
z_assessor_538,538-366707,366707,Idea fits the challenge and the standards for auditing could benefit the community a lot since it could improve the auditbility.,5,Team has really done great research in presenting its idea.,4,Presented information is well enough for audit and it could be great if team consider fund amount again because it might increase the estimated budget.,4,,,
z_assessor_539,539-366707,366707,,4,,4,,4,x,,
z_assessor_57,57-366707,366707,"Right from the start, the author of the proposal succinctly and efficiently explains to us the key issues involved in the analysis of proposals approved in the Catalyst project. The lack of a standard in the audit, in addition to the irregularity of such reviews, are really very relevant points, which the author cites from the beginning in his presentation, claiming that he will solve them. It is good that the proposal author builds on a previously successful proposal to chart paths for their project. As I understand it, this model proposal is a so-called QA-DAO (Fund 5 Developer ecosystem). It is interesting that it provides a link to the proposal, so that people who do not know it could have easier and faster access. The impact of this proposal is already identifiable, taking into account that a series of models and forms about the problems of the proposals and activities that involve them are already circulating, through tools such as GitHub Actions. The author conveys security in this information, passing up to the exact date on which these activities began. For this reason, I believe that the proposal dialogues very well with the objectives of the challenge, which are mainly to monitor the progress of financed projects and ensure that these data reach the members of the community. This can be seen clearly in the excerpt: ""An auditability workflow will model the working practices of the participants, the metrics they report on, whether this fits into their own documentation, and how they can benefit from automation."" If this promise is fulfilled, success with the challenge objectives is certain.",5,"Regarding the author's ability to deliver what he promises, we have a satisfactory amount of information about him. We know that he has experience in managing projects, academic, business or community and also some projects he managed, about what they were about and where they happened (some in Catalyst itself). His actions are tracked very accurately, that is, we know what he has been doing, in which part of Catalyst (Town Halls, for example) and since when, with dates. His linkedin profile is also attached, where we can get to know more intimately who Stephen is, what his professional background and other places where he has worked. In this way, a lot of confidence is passed in their ability to carry out the present proposal.",5,"The author of the proposal provides us with a great deal of information about auditability. We know what will happen, according to phases, and the actions of each phase are very detailed. Furthermore, they are situated in time so that we can know exactly when they will happen. We are also given what the definition of success would be like, how the community can accurately track the progress of the project and whether everything is going as planned. The division of funding money is also extremely detailed, including information even on how many hours each activity will last (a very rare thing to find in the proposal description). Everything is very well explained, from how the project's publicity will happen, through which media channels it will happen, as well as the technical development, through updates on github. For these reasons, I believe the auditability is perfect, there is nothing to criticize. Through the information given, we can have a solid visualization of what will happen, when and for what purpose.",5,,,
z_assessor_573,573-366707,366707,"Important topic, extremely reasonable cost of execution.",5,The level of detail in the proposal implies that yes.,5,Very detailed tracking information.,5,,,
z_assessor_594,594-366707,366707,This a great proposal and one needed to extend further quality assurance in the Catalyst process. The experience is quite extensive and the organization is present for the delivery of its solution.,5,Given the 30 year experience and previous examples of this work being done before I believe the proposal will undoubtedly be implemented successfully. Great roadmap and everything timed down to the details for a transparent delivery.,5,The information provided is quite clear and concisely detailed as to what each step will do and how are the funds are used.,5,,,
